type_equipement,age,duree_vie_prevue,etat,derniere_maintenance,frequence_maintenance,nb_pannes,temps_fonctionnement_total,temps_moyen_reparation,temps_arret_panne,class_equipement
Semoir,9,11,bon état,2024-04-24 17:50:08.836746,53,36,33390,13,42,C
Tracteur,4,10,besoin de maintenance,2024-03-23 17:50:08.836750,47,10,14840,17,4,B
Tracteur,8,12,besoin de réparation,2024-02-10 17:50:08.836754,87,20,29680,4,20,B
Charrue,7,16,besoin de réparation,2024-02-17 17:50:08.836757,41,23,25970,16,19,B
Tracteur,5,15,bon état,2024-04-26 17:50:08.836761,66,20,18550,4,15,B
Remorque agricole,13,15,besoin de maintenance,2024-03-17 17:50:08.836765,13,42,48230,12,17,C
Charrue,10,14,besoin de maintenance,2024-03-07 17:50:08.836769,32,36,37100,16,6,B
Remorque agricole,8,13,bon état,2024-04-20 17:50:08.836775,87,32,29680,12,30,B
Charrue,12,13,besoin de réparation,2024-02-04 17:50:08.836779,8,34,44520,13,14,C
Moissonneuse,5,14,besoin de réparation,2024-04-12 17:50:08.836782,28,18,18550,12,27,B
Moissonneuse,10,11,besoin de maintenance,2024-03-25 17:50:08.836786,60,32,37100,12,24,C
Semoir,8,15,besoin de réparation,2024-01-31 17:50:08.836790,37,29,29680,5,30,B
Tondeuse agricole,4,15,besoin de maintenance,2024-03-31 17:50:08.836794,59,13,14840,2,37,B
Remorque agricole,5,16,besoin de maintenance,2024-03-13 17:50:08.836798,66,10,18550,4,13,B
Tondeuse agricole,3,13,besoin de maintenance,2024-03-23 17:50:08.836801,77,10,11130,4,45,B
Remorque agricole,7,11,besoin de maintenance,2024-03-27 17:50:08.836805,15,17,25970,11,34,B
Tracteur,5,11,besoin de réparation,2024-04-01 17:50:08.836809,89,18,18550,4,11,B
Remorque agricole,13,13,besoin de maintenance,2024-03-24 17:50:08.836813,65,47,48230,9,6,C
Charrue,7,15,besoin de réparation,2024-02-27 17:50:08.836817,43,23,25970,7,14,B
Tondeuse agricole,9,15,besoin de réparation,2024-02-16 17:50:08.836821,69,26,33390,11,8,B
Charrue,13,14,bon état,2024-04-28 17:50:08.836825,56,42,48230,13,12,C
Charrue,12,16,besoin de réparation,2024-02-03 17:50:08.836829,57,39,44520,8,28,C
Charrue,5,10,besoin de réparation,2024-04-14 17:50:08.836833,69,16,18550,17,2,B
Semoir,10,14,bon état,2024-04-24 17:50:08.836837,86,36,37100,8,8,B
Moissonneuse,13,16,bon état,2024-04-21 17:50:08.836841,55,52,48230,9,7,C
Tondeuse agricole,4,13,bon état,2024-04-16 17:50:08.836845,39,8,14840,16,26,A
Charrue,5,10,besoin de maintenance,2024-03-16 17:50:08.836849,46,16,18550,11,9,B
Tondeuse agricole,9,13,besoin de maintenance,2024-03-06 17:50:08.836852,38,33,33390,6,23,B
Remorque agricole,4,11,besoin de réparation,2024-04-13 17:50:08.836856,14,15,14840,17,20,B
Tondeuse agricole,3,11,besoin de maintenance,2024-03-30 17:50:08.836860,89,10,11130,4,9,B
Semoir,12,15,besoin de maintenance,2024-03-22 17:50:08.836864,89,29,44520,18,23,C
Semoir,11,15,besoin de réparation,2024-02-11 17:50:08.836868,47,27,40810,15,28,B
Semoir,5,15,besoin de maintenance,2024-03-25 17:50:08.836872,61,20,18550,13,15,B
Tracteur,5,15,bon état,2024-04-15 17:50:08.836877,63,18,18550,6,8,B
Tondeuse agricole,12,12,besoin de maintenance,2024-03-27 17:50:08.836881,8,29,44520,6,15,C
Moissonneuse,11,10,besoin de maintenance,2024-03-23 17:50:08.836886,81,36,40810,5,14,C
Charrue,12,12,besoin de maintenance,2024-03-14 17:50:08.836889,31,48,44520,13,45,C
Tondeuse agricole,11,15,bon état,2024-04-20 17:50:08.836893,59,44,40810,15,39,B
Charrue,11,11,bon état,2024-04-27 17:50:08.836897,57,22,40810,8,19,C
Moissonneuse,11,13,besoin de réparation,2024-02-22 17:50:08.836901,20,27,40810,14,26,C
Tondeuse agricole,12,14,besoin de réparation,2024-02-13 17:50:08.836905,44,39,44520,9,38,C
Charrue,8,12,bon état,2024-04-23 17:50:08.836908,43,32,29680,8,25,B
Charrue,13,16,besoin de maintenance,2024-03-25 17:50:08.836912,68,26,48230,13,34,C
Charrue,7,10,besoin de maintenance,2024-03-13 17:50:08.836916,38,23,25970,7,3,B
Tondeuse agricole,11,10,besoin de réparation,2024-02-17 17:50:08.836920,80,40,40810,13,10,C
Tondeuse agricole,11,12,besoin de réparation,2024-02-03 17:50:08.836924,61,44,40810,11,16,C
Semoir,10,14,besoin de maintenance,2024-03-17 17:50:08.836928,2,40,37100,10,38,B
Moissonneuse,11,10,besoin de réparation,2024-02-23 17:50:08.836932,2,44,40810,18,38,C
Moissonneuse,13,11,bon état,2024-04-21 17:50:08.836936,69,32,48230,9,4,C
Moissonneuse,8,12,besoin de maintenance,2024-03-15 17:50:08.836940,37,29,29680,5,46,B
Remorque agricole,12,12,besoin de maintenance,2024-03-28 17:50:08.836944,51,29,44520,5,11,C
Moissonneuse,4,13,besoin de maintenance,2024-03-03 17:50:08.836948,45,16,14840,6,22,B
Semoir,13,13,besoin de maintenance,2024-03-02 17:50:08.836951,3,26,48230,11,36,C
Tracteur,5,15,besoin de réparation,2024-04-08 17:50:08.836955,72,16,18550,8,6,B
Tracteur,8,11,bon état,2024-04-21 17:50:08.836959,80,26,29680,7,28,B
Tondeuse agricole,9,15,besoin de réparation,2024-02-18 17:50:08.836963,74,26,33390,15,7,B
Moissonneuse,12,13,besoin de maintenance,2024-03-06 17:50:08.836967,11,44,44520,14,28,C
Moissonneuse,4,12,bon état,2024-04-19 17:50:08.836971,23,15,14840,12,14,B
Tracteur,6,11,besoin de maintenance,2024-03-11 17:50:08.836975,88,12,22260,9,23,B
Moissonneuse,12,10,bon état,2024-04-28 17:50:08.836978,4,29,44520,15,22,C
Semoir,8,11,besoin de réparation,2024-02-28 17:50:08.836982,36,29,29680,6,35,B
Remorque agricole,3,16,besoin de réparation,2024-04-01 17:50:08.836986,82,10,11130,15,39,B
Remorque agricole,12,13,besoin de maintenance,2024-03-14 17:50:08.836990,65,48,44520,7,23,C
Remorque agricole,12,13,besoin de maintenance,2024-03-28 17:50:08.836993,84,34,44520,4,30,C
Charrue,8,13,besoin de réparation,2024-02-15 17:50:08.836997,42,29,29680,6,45,B
Semoir,11,10,besoin de réparation,2024-02-25 17:50:08.837001,68,40,40810,3,20,C
Remorque agricole,6,12,besoin de réparation,2024-04-03 17:50:08.837005,89,24,22260,18,15,B
Charrue,7,15,bon état,2024-04-23 17:50:08.837008,47,17,25970,8,11,B
Moissonneuse,13,12,bon état,2024-04-27 17:50:08.837012,52,42,48230,5,44,C
Tracteur,9,12,besoin de maintenance,2024-03-18 17:50:08.837016,88,26,33390,16,13,C
Charrue,10,11,besoin de maintenance,2024-03-29 17:50:08.837020,16,36,37100,18,37,C
Charrue,8,15,besoin de réparation,2024-02-24 17:50:08.837023,29,26,29680,15,36,B
Moissonneuse,7,11,besoin de maintenance,2024-03-19 17:50:08.837027,88,17,25970,4,25,B
Tracteur,6,15,besoin de réparation,2024-04-01 17:50:08.837031,74,22,22260,15,36,B
Remorque agricole,11,11,bon état,2024-04-18 17:50:08.837035,33,31,40810,3,27,C
Remorque agricole,13,12,besoin de maintenance,2024-03-02 17:50:08.837039,14,42,48230,17,7,C
Tracteur,13,12,bon état,2024-04-20 17:50:08.837042,84,47,48230,16,47,C
Charrue,10,10,besoin de réparation,2024-02-16 17:50:08.837046,73,40,37100,15,38,C
Tondeuse agricole,6,10,besoin de maintenance,2024-03-09 17:50:08.837050,28,12,22260,4,35,B
Semoir,6,11,besoin de réparation,2024-04-10 17:50:08.837054,71,17,22260,7,11,B
Semoir,11,13,besoin de réparation,2024-02-10 17:50:08.837058,40,44,40810,2,36,C
Semoir,7,11,besoin de réparation,2024-02-05 17:50:08.837062,53,28,25970,9,18,B
Tondeuse agricole,13,15,bon état,2024-04-24 17:50:08.837066,75,26,48230,17,24,C
Tondeuse agricole,9,11,besoin de maintenance,2024-03-30 17:50:08.837070,63,18,33390,3,15,C
Remorque agricole,13,13,besoin de maintenance,2024-03-02 17:50:08.837073,47,47,48230,18,12,C
Tondeuse agricole,12,10,bon état,2024-04-29 17:50:08.837077,49,34,44520,17,41,C
Semoir,4,12,bon état,2024-04-24 17:50:08.837081,51,15,14840,16,31,B
Tracteur,4,13,bon état,2024-04-17 17:50:08.837086,29,12,14840,17,6,B
Charrue,4,15,besoin de maintenance,2024-03-02 17:50:08.837090,19,16,14840,10,19,B
Tracteur,13,12,besoin de réparation,2024-02-06 17:50:08.837094,1,26,48230,8,25,C
Moissonneuse,9,16,besoin de maintenance,2024-03-10 17:50:08.837098,43,22,33390,12,40,B
Tondeuse agricole,5,10,besoin de réparation,2024-04-14 17:50:08.837152,39,12,18550,6,3,B
Charrue,7,13,besoin de maintenance,2024-03-19 17:50:08.837156,67,17,25970,10,16,B
Semoir,4,11,besoin de réparation,2024-03-31 17:50:08.837160,85,16,14840,9,13,B
Tondeuse agricole,6,13,bon état,2024-04-16 17:50:08.837164,79,17,22260,10,33,B
Moissonneuse,3,13,besoin de réparation,2024-04-13 17:50:08.837168,90,11,11130,14,37,B
Tondeuse agricole,10,12,besoin de réparation,2024-02-20 17:50:08.837172,86,32,37100,10,35,C
Charrue,4,16,besoin de maintenance,2024-03-23 17:50:08.837175,11,10,14840,7,13,B
Remorque agricole,3,11,besoin de maintenance,2024-03-30 17:50:08.837179,83,12,11130,5,40,B
Charrue,3,15,besoin de maintenance,2024-03-25 17:50:08.837183,15,6,11130,14,37,B
Tracteur,5,16,besoin de maintenance,2024-03-09 17:50:08.837187,32,14,18550,17,46,B
Tracteur,5,15,besoin de réparation,2024-04-11 17:50:08.837191,51,16,18550,17,18,B
Semoir,9,16,bon état,2024-04-23 17:50:08.837194,15,36,33390,17,45,B
Semoir,10,14,besoin de maintenance,2024-03-06 17:50:08.837198,29,20,37100,7,36,B
Semoir,5,13,besoin de maintenance,2024-03-01 17:50:08.837202,34,16,18550,12,7,B
Semoir,11,10,besoin de maintenance,2024-03-28 17:50:08.837206,9,36,40810,5,17,C
Charrue,11,10,besoin de maintenance,2024-03-02 17:50:08.837211,64,44,40810,5,36,C
Remorque agricole,9,13,bon état,2024-04-19 17:50:08.837215,81,18,33390,8,41,B
Remorque agricole,9,14,besoin de maintenance,2024-03-10 17:50:08.837219,85,36,33390,3,22,B
Charrue,5,12,bon état,2024-04-21 17:50:08.837224,82,18,18550,9,11,B
Remorque agricole,10,12,besoin de réparation,2024-02-04 17:50:08.837227,26,20,37100,8,32,C
Remorque agricole,8,16,bon état,2024-04-25 17:50:08.837231,50,16,29680,12,5,B
Semoir,5,16,besoin de réparation,2024-04-14 17:50:08.837235,37,20,18550,14,2,B
Tondeuse agricole,7,13,bon état,2024-04-29 17:50:08.837239,18,14,25970,14,18,B
Semoir,11,12,besoin de maintenance,2024-03-25 17:50:08.837242,14,44,40810,9,6,C
Moissonneuse,4,12,besoin de maintenance,2024-03-17 17:50:08.837246,9,15,14840,6,19,B
Tondeuse agricole,7,14,besoin de réparation,2024-02-06 17:50:08.837250,56,26,25970,8,37,B
Remorque agricole,11,10,besoin de maintenance,2024-03-18 17:50:08.837254,83,27,40810,7,10,C
Tondeuse agricole,5,11,bon état,2024-04-22 17:50:08.837258,74,14,18550,16,14,B
Tracteur,10,10,bon état,2024-04-21 17:50:08.837262,76,32,37100,13,11,C
Charrue,6,11,besoin de maintenance,2024-03-28 17:50:08.837265,74,20,22260,10,37,B
Charrue,9,11,bon état,2024-04-22 17:50:08.837269,12,18,33390,7,46,C
Tracteur,5,11,bon état,2024-04-21 17:50:08.837273,4,20,18550,14,43,B
Moissonneuse,13,15,besoin de réparation,2024-02-22 17:50:08.837277,45,47,48230,8,12,C
Tondeuse agricole,9,10,besoin de maintenance,2024-03-12 17:50:08.837281,79,33,33390,5,48,C
Charrue,7,11,bon état,2024-04-18 17:50:08.837285,38,14,25970,16,34,B
Tondeuse agricole,10,12,bon état,2024-04-20 17:50:08.837289,68,20,37100,5,33,C
Charrue,6,15,bon état,2024-04-17 17:50:08.837294,34,17,22260,3,42,B
Moissonneuse,7,14,besoin de maintenance,2024-03-04 17:50:08.837298,47,23,25970,7,28,B
Tracteur,4,15,besoin de maintenance,2024-03-11 17:50:08.837302,86,16,14840,6,2,B
Semoir,12,15,besoin de maintenance,2024-03-30 17:50:08.837306,4,29,44520,6,42,C
Remorque agricole,7,11,besoin de maintenance,2024-03-01 17:50:08.837310,39,26,25970,7,32,B
Tondeuse agricole,5,12,bon état,2024-04-15 17:50:08.837313,37,10,18550,3,20,B
Semoir,3,12,bon état,2024-04-15 17:50:08.837317,80,9,11130,16,33,A
Charrue,9,13,bon état,2024-04-26 17:50:08.837322,58,29,33390,17,17,B
Remorque agricole,10,11,besoin de maintenance,2024-03-04 17:50:08.837325,42,20,37100,7,7,C
Tondeuse agricole,13,12,besoin de réparation,2024-02-27 17:50:08.837329,7,32,48230,7,39,C
Moissonneuse,8,11,besoin de maintenance,2024-03-03 17:50:08.837333,33,16,29680,11,24,B
Remorque agricole,6,13,besoin de réparation,2024-04-10 17:50:08.837337,90,22,22260,3,10,B
Tondeuse agricole,7,16,bon état,2024-04-22 17:50:08.837341,57,17,25970,11,40,B
Tondeuse agricole,13,14,besoin de réparation,2024-02-26 17:50:08.837345,74,26,48230,15,17,C
Semoir,6,11,besoin de maintenance,2024-03-17 17:50:08.837348,26,12,22260,16,46,B
Tondeuse agricole,4,12,besoin de maintenance,2024-03-15 17:50:08.837352,63,8,14840,7,25,B
Charrue,5,12,bon état,2024-04-18 17:50:08.837356,15,12,18550,11,13,B
Tracteur,9,16,besoin de maintenance,2024-03-23 17:50:08.837359,73,22,33390,14,19,B
Tondeuse agricole,8,14,besoin de réparation,2024-02-23 17:50:08.837363,17,26,29680,17,26,B
Semoir,12,12,besoin de maintenance,2024-03-18 17:50:08.837367,80,39,44520,5,8,C
Semoir,6,16,besoin de réparation,2024-04-13 17:50:08.837371,81,12,22260,2,35,B
Moissonneuse,13,15,besoin de réparation,2024-02-02 17:50:08.837375,15,42,48230,7,28,C
Remorque agricole,6,13,besoin de maintenance,2024-03-02 17:50:08.837378,15,12,22260,3,24,B
Charrue,4,16,besoin de réparation,2024-04-12 17:50:08.837382,18,10,14840,12,42,B
Charrue,7,16,besoin de réparation,2024-02-15 17:50:08.837386,58,28,25970,10,41,B
Remorque agricole,3,16,besoin de maintenance,2024-03-01 17:50:08.837390,86,6,11130,17,39,B
Tondeuse agricole,5,15,besoin de maintenance,2024-03-20 17:50:08.837394,67,18,18550,14,46,B
Moissonneuse,3,14,besoin de réparation,2024-04-13 17:50:08.837398,2,11,11130,6,45,B
Remorque agricole,3,12,besoin de réparation,2024-04-09 17:50:08.837401,21,8,11130,17,36,B
Moissonneuse,13,15,besoin de maintenance,2024-03-07 17:50:08.837405,86,42,48230,10,47,C
Tondeuse agricole,10,10,besoin de réparation,2024-02-24 17:50:08.837409,4,36,37100,5,5,C
Charrue,3,14,besoin de maintenance,2024-03-18 17:50:08.837413,5,6,11130,14,47,B
Semoir,5,14,bon état,2024-04-21 17:50:08.837416,21,20,18550,17,47,B
Semoir,10,10,besoin de réparation,2024-01-31 17:50:08.837420,55,28,37100,16,37,C
Charrue,3,12,besoin de réparation,2024-04-07 17:50:08.837424,19,12,11130,7,5,B
Tracteur,10,12,besoin de maintenance,2024-03-27 17:50:08.837428,80,24,37100,3,26,C
Semoir,10,13,bon état,2024-04-22 17:50:08.837432,35,36,37100,7,33,C
Charrue,7,13,besoin de réparation,2024-02-25 17:50:08.837435,30,14,25970,18,46,B
Semoir,5,12,bon état,2024-04-17 17:50:08.837439,11,16,18550,5,21,B
Remorque agricole,8,12,besoin de réparation,2024-02-21 17:50:08.837443,37,26,29680,14,25,B
Tondeuse agricole,7,14,bon état,2024-04-17 17:50:08.837448,78,23,25970,2,17,B
Moissonneuse,10,12,besoin de réparation,2024-02-01 17:50:08.837452,27,36,37100,13,6,C
Moissonneuse,3,12,besoin de réparation,2024-04-09 17:50:08.837456,56,11,11130,17,36,B
Tondeuse agricole,8,12,besoin de réparation,2024-02-16 17:50:08.837460,43,16,29680,5,11,B
Tracteur,13,15,bon état,2024-04-21 17:50:08.837464,20,32,48230,2,28,C
Moissonneuse,5,16,besoin de maintenance,2024-03-20 17:50:08.837468,61,18,18550,6,15,B
Semoir,6,13,besoin de réparation,2024-03-31 17:50:08.837471,23,12,22260,14,15,B
Moissonneuse,10,12,besoin de maintenance,2024-03-07 17:50:08.837475,45,28,37100,15,7,C
Semoir,5,10,bon état,2024-04-17 17:50:08.837479,11,12,18550,3,39,B
Charrue,5,11,bon état,2024-04-19 17:50:08.837482,79,12,18550,10,4,B
Charrue,3,10,bon état,2024-04-21 17:50:08.837486,28,6,11130,7,44,A
Semoir,13,16,bon état,2024-04-27 17:50:08.837490,1,47,48230,8,40,C
Remorque agricole,5,12,besoin de maintenance,2024-03-06 17:50:08.837494,36,20,18550,3,46,B
Moissonneuse,4,15,besoin de réparation,2024-04-11 17:50:08.837498,18,13,14840,6,36,B
Remorque agricole,3,15,besoin de maintenance,2024-03-02 17:50:08.837502,87,11,11130,4,28,B
Charrue,6,12,besoin de réparation,2024-04-08 17:50:08.837505,19,17,22260,16,2,B
Remorque agricole,5,13,besoin de réparation,2024-04-04 17:50:08.837509,41,16,18550,12,39,B
Tracteur,7,13,besoin de maintenance,2024-03-16 17:50:08.837513,47,28,25970,2,17,B
Moissonneuse,5,16,besoin de maintenance,2024-03-13 17:50:08.837518,48,10,18550,12,45,B
Remorque agricole,12,11,besoin de maintenance,2024-03-04 17:50:08.837522,80,39,44520,3,17,C
Tondeuse agricole,6,10,bon état,2024-04-25 17:50:08.837525,23,20,22260,13,31,B
Moissonneuse,13,13,besoin de réparation,2024-02-19 17:50:08.837529,28,47,48230,7,46,C
Charrue,5,13,besoin de réparation,2024-04-02 17:50:08.837533,46,16,18550,9,37,B
Tracteur,8,14,besoin de maintenance,2024-03-27 17:50:08.837537,22,23,29680,11,43,B
Moissonneuse,11,16,besoin de maintenance,2024-03-24 17:50:08.837541,35,40,40810,11,15,B
Tracteur,9,10,besoin de réparation,2024-02-15 17:50:08.837545,88,36,33390,8,45,C
Tondeuse agricole,8,11,besoin de maintenance,2024-03-02 17:50:08.837549,64,26,29680,11,43,B
Remorque agricole,12,16,bon état,2024-04-25 17:50:08.837553,3,34,44520,16,9,C
Charrue,9,16,besoin de maintenance,2024-03-28 17:50:08.837556,23,33,33390,15,39,B
Remorque agricole,9,14,besoin de réparation,2024-02-09 17:50:08.837560,86,18,33390,3,31,B
Charrue,3,16,bon état,2024-04-19 17:50:08.837564,61,11,11130,9,2,B
Semoir,11,10,besoin de maintenance,2024-03-21 17:50:08.837568,25,44,40810,18,35,C
Semoir,11,12,besoin de réparation,2024-02-06 17:50:08.837572,57,40,40810,2,32,C
Charrue,12,11,besoin de réparation,2024-02-24 17:50:08.837576,62,29,44520,17,34,C
Tracteur,4,11,bon état,2024-04-22 17:50:08.837579,69,15,14840,3,32,B
Semoir,4,12,bon état,2024-04-23 17:50:08.837583,63,8,14840,13,46,A
Remorque agricole,5,13,bon état,2024-04-25 17:50:08.837587,60,10,18550,3,11,B
Moissonneuse,11,13,bon état,2024-04-21 17:50:08.837591,42,36,40810,13,12,C
Charrue,10,13,bon état,2024-04-22 17:50:08.837595,24,20,37100,4,11,C
Remorque agricole,11,13,besoin de maintenance,2024-03-28 17:50:08.837598,42,44,40810,4,23,C
Moissonneuse,8,10,besoin de maintenance,2024-03-11 17:50:08.837605,77,23,29680,4,12,C
Tondeuse agricole,5,14,bon état,2024-04-23 17:50:08.837609,2,12,18550,11,41,B
Moissonneuse,7,15,besoin de réparation,2024-02-06 17:50:08.837613,79,20,25970,3,15,B
Semoir,7,16,besoin de réparation,2024-03-01 17:50:08.837617,53,28,25970,8,15,B
Remorque agricole,7,11,besoin de maintenance,2024-03-01 17:50:08.837621,13,20,25970,11,19,B
Semoir,13,11,besoin de maintenance,2024-03-26 17:50:08.837625,58,32,48230,18,34,C
Charrue,12,11,bon état,2024-04-18 17:50:08.837629,41,44,44520,5,27,C
Moissonneuse,10,14,besoin de réparation,2024-02-01 17:50:08.837633,83,32,37100,11,13,B
Remorque agricole,3,15,besoin de réparation,2024-04-14 17:50:08.837637,40,10,11130,9,18,B
Charrue,3,10,besoin de maintenance,2024-03-18 17:50:08.837641,54,10,11130,5,3,B
Remorque agricole,4,10,besoin de maintenance,2024-03-21 17:50:08.837644,30,13,14840,8,44,B
Remorque agricole,8,12,besoin de réparation,2024-02-10 17:50:08.837649,27,20,29680,3,24,B
Moissonneuse,13,14,bon état,2024-04-26 17:50:08.837653,69,26,48230,9,21,C
Remorque agricole,8,15,bon état,2024-04-24 17:50:08.837656,24,32,29680,14,12,B
Moissonneuse,7,10,besoin de réparation,2024-02-27 17:50:08.837660,11,20,25970,15,44,B
Tondeuse agricole,6,11,besoin de réparation,2024-04-08 17:50:08.837664,39,12,22260,14,11,B
Remorque agricole,13,14,bon état,2024-04-24 17:50:08.837668,68,47,48230,12,8,C
Remorque agricole,8,11,besoin de maintenance,2024-03-06 17:50:08.837672,74,16,29680,4,45,B
Tondeuse agricole,10,11,bon état,2024-04-28 17:50:08.837676,51,36,37100,16,42,C
Tondeuse agricole,4,12,besoin de maintenance,2024-03-13 17:50:08.837679,47,13,14840,17,28,B
Tondeuse agricole,12,11,besoin de maintenance,2024-03-04 17:50:08.837683,5,44,44520,16,38,C
Tracteur,9,16,besoin de réparation,2024-01-31 17:50:08.837687,81,29,33390,9,41,B
Tracteur,7,12,besoin de maintenance,2024-03-02 17:50:08.837691,46,14,25970,3,31,B
Tondeuse agricole,7,13,bon état,2024-04-16 17:50:08.837695,83,20,25970,10,13,B
Remorque agricole,7,14,besoin de maintenance,2024-03-28 17:50:08.837698,4,17,25970,15,6,B
Moissonneuse,3,12,besoin de maintenance,2024-03-20 17:50:08.837702,69,8,11130,17,46,B
Tracteur,7,16,besoin de maintenance,2024-03-24 17:50:08.837707,73,17,25970,5,42,B
Semoir,8,10,bon état,2024-04-27 17:50:08.837711,35,16,29680,2,41,C
Moissonneuse,4,14,besoin de réparation,2024-04-10 17:50:08.837715,1,10,14840,7,39,B
Tracteur,6,12,besoin de réparation,2024-04-05 17:50:08.837718,25,15,22260,13,24,B
Moissonneuse,11,14,besoin de réparation,2024-02-20 17:50:08.837723,10,44,40810,11,6,C
Remorque agricole,11,14,besoin de maintenance,2024-03-19 17:50:08.837726,4,40,40810,8,26,C
Charrue,12,10,besoin de réparation,2024-02-07 17:50:08.837731,5,24,44520,10,36,C
Moissonneuse,11,13,besoin de réparation,2024-02-03 17:50:08.837734,18,31,40810,16,27,C
Tracteur,5,14,bon état,2024-04-19 17:50:08.837738,63,18,18550,11,13,B
Charrue,7,16,bon état,2024-04-23 17:50:08.837742,18,14,25970,9,32,B
Remorque agricole,8,14,bon état,2024-04-18 17:50:08.837746,47,23,29680,3,14,B
Tracteur,5,11,besoin de réparation,2024-04-06 17:50:08.837749,2,20,18550,4,27,B
Charrue,5,15,besoin de maintenance,2024-03-26 17:50:08.837753,84,10,18550,4,30,B
Tracteur,11,11,besoin de réparation,2024-02-06 17:50:08.837757,56,44,40810,6,34,C
Moissonneuse,5,10,besoin de maintenance,2024-03-18 17:50:08.837762,7,18,18550,11,45,B
Charrue,8,16,bon état,2024-04-26 17:50:08.837766,36,26,29680,14,8,B
Charrue,5,11,besoin de maintenance,2024-03-25 17:50:08.837770,63,10,18550,9,2,B
Tondeuse agricole,11,10,besoin de réparation,2024-02-21 17:50:08.837774,41,22,40810,18,32,C
Semoir,4,13,besoin de réparation,2024-04-05 17:50:08.837778,72,8,14840,5,27,B
Tracteur,7,10,bon état,2024-04-17 17:50:08.837782,66,28,25970,16,10,B
Charrue,11,13,besoin de réparation,2024-02-05 17:50:08.837786,72,31,40810,2,20,C
Remorque agricole,7,15,besoin de réparation,2024-02-27 17:50:08.837790,14,28,25970,18,15,B
Semoir,5,16,besoin de réparation,2024-04-06 17:50:08.837793,23,20,18550,7,8,B
Tondeuse agricole,6,12,bon état,2024-04-16 17:50:08.837797,29,20,22260,13,18,B
Charrue,4,14,besoin de réparation,2024-04-02 17:50:08.837801,65,12,14840,4,16,B
Charrue,4,13,bon état,2024-04-19 17:50:08.837805,11,15,14840,2,16,B
Moissonneuse,8,12,bon état,2024-04-21 17:50:08.837809,28,20,29680,10,23,B
Tracteur,8,10,besoin de maintenance,2024-03-11 17:50:08.837812,57,29,29680,3,12,C
Remorque agricole,5,10,besoin de maintenance,2024-03-13 17:50:08.837817,53,16,18550,18,44,B
Semoir,5,10,besoin de maintenance,2024-03-09 17:50:08.837821,31,10,18550,8,32,B
Remorque agricole,10,10,besoin de maintenance,2024-03-28 17:50:08.837824,60,20,37100,7,25,C
Tondeuse agricole,11,13,besoin de réparation,2024-02-27 17:50:08.837828,80,27,40810,8,41,C
Tondeuse agricole,13,16,besoin de maintenance,2024-03-29 17:50:08.837834,45,37,48230,9,42,C
Tracteur,12,13,besoin de maintenance,2024-03-21 17:50:08.837838,63,39,44520,18,45,C
Tracteur,13,13,besoin de réparation,2024-02-15 17:50:08.837842,18,26,48230,5,41,C
Tracteur,6,13,besoin de maintenance,2024-03-25 17:50:08.837846,14,17,22260,7,19,B
Moissonneuse,12,14,besoin de maintenance,2024-03-19 17:50:08.837850,40,29,44520,7,44,C
Moissonneuse,12,14,besoin de réparation,2024-02-04 17:50:08.837854,64,48,44520,18,15,C
Moissonneuse,12,15,bon état,2024-04-17 17:50:08.837858,18,39,44520,8,4,C
Charrue,11,13,bon état,2024-04-21 17:50:08.837862,8,31,40810,5,8,C
